" Celle verdi indicano viaggi già effettuati, celle rosse i pagamenti ancora da effettuare, celle arancioni viaggi confermati ma ancora effettuati",,,,, Prenotazioni PROGRAMMATE,,,,, PARENTE VIAGGI,,
,,,,, Importo già saldato,, Da saldare, Totale programmato,,,,
,,,,,"€ 264.242,82",,"€ 6.146,03","€ 270.388,85",,,,
,Data partenza,Data rientro,Evento,,Capienza bus,numero autisti, Costo Noleggio, Costo ZTL/parcheggio,Fattura numero:, Pagata:, Data pagamento, Note
57,07/12/2024,, Assisi e Gubbio,,,," € 1.350,00 "," € 52,00 ",526," € 1.402,00 ",16/12/2024,
58,07/12/2024,, Alberobello e Locorotondo,,,," € 1.650,00 "," € 200,00 ",527," € 1.850,00 ",16/12/2024,
59,08/12/2024,, Napoli,,,," € 1.200,00 "," € 122,00 ",529," € 1.322,00 ",16/12/2024,
60,14/12/2024,, Arenzo e Firenze,,,," € 1.850,00 "," € 395,00 ",534," € 2.001,00 ",27/12/20024, bon ordinario
61,15/12/2024,, Matera,,,," € 1.600,00 ",,535," € 1.600,00 ",27/12/20024, bon ordinario
62,21/12/2024,, Napoli,,,," € 1.050,00 "," € 122,00 ",544," € 1.172,00 ",27/12/20024, bon ordinario
63,21/12/2024,, Roma - concerto Nannini,,,," € 990,00 ",,545," € 990,00 ",27/12/20024,
64,22/12/2024,, Roma - Botero,,,," € 1.200,00 "," € 150,00 ",546," € 1.350,00 ",27/12/20024, bon ordinario
65,27/12/2024,02/01/25, Porto di Ancona x Padre Angelo,,,," € 1.400,00 ",,02," € 1.400,00 ",08/01/2025,
66,28/12/2024,, San Marino,,,," € 1.202,06 "," € 25,00 ",549," € 1.227,06 ",08/01/2025,
67,31/12/2024,, Cinecittà World,,,," € 1.400,00 ",,03," € 1.400,00 ",08/01/2025,
68,04/01/2025,, Napoli + Napoli con Giorgia,,,," € 1.050,00 "," € 122,00 ",05," € 1.172,00 ",08/01/2025,
69,05/01/2025,, Viaggio a Firenze con Guida,,,," € 2.000,00 "," € 50,00 ",06," € 2.050,00 ",11/01/2025, bon ordinario
70,05/01/2025,, Pe-Torre Cerrano,,,," € 350,00 ",,07," € 350,00 ",08/01/2025,
71,09/01/2025,, Partecipa come pubblico ad AMICI,,,," € 990,00 ",,14," € 990,00 ",20/01/2025,
72,12/01/2025,, Viaggio a Napoli in Giornata,,,," € 1.050,00 "," € 122,00 ",20," € 1.172,00 ",30/01/2025,
73,24/01/2025,, Partecipa come pubblico ad AMICI,,,," € 990,00 ",,32," € 990,00 ",30/01/2025,
74,27/01/2025,, Avanti Un Altro - Ultime registrazioni,,,," € 990,00 ",,34," € 990,00 ",04/02/2025,
75,01/02/2025,, Viaggio a Napoli in Giornata,,,," € 1.050,00 "," € 122,00 ",44," € 1.172,00 ",18/02/2025,
76,10/02/2025,, Studi Elios - Roma C'è Posta per te,,,1," € 945,00 ",,54," € 945,00 ",07/03/2025," rinviato il 07 marzo per problemi con Hype, inviati dalla deuteske bank"
77,14/02/2025,16/02/2025, Verona e Carnevali di Venezia e Cento,,,," € 2.400,00 "," € 150,00 ",61," € 2.550,00 ",17/03/2025," Bonifico non arrivato, procediamo a reinviare, appena ho conferma inseriamo l'importo "
78,15/02/2025,, Viaggio a Napoli in Giornata con Guida,,,1," € 1.050,00 "," € 122,00 ",62," € 1.172,00 ",25/02/2025,
79,15/02/2025,, VAN SCICLUB,,,," € 200,00 ",,," € 200,00 ",08/03/2025, CONTANTI SUL BUS TANIA
80,16/02/2025,, Viaggio alla Mostra di Munch a Roma,,,1," € 1.050,00 ",,67," € 1.050,00 ",25/02/2025,
81,22/02/2025,, Venezia e il Magico Carnevale,,,1," € 2.100,00 ",,74," € 2.100,00 ",17/03/2025,
82,23/02/2025,, Viaggio a Napoli in Giornata,,,1," € 1.050,00 "," € 122,00 ",76," € 1.172,00 ",27/02/2025,
83,23/02/2025,, Viaggio al Carnevale di Fano,,,1," € 850,00 ",,77," € 850,00 ",05/03/2025,
84,27/02/2025,, Partecipa come pubblico ad AMICI,," € 50,00 ",1," € 990,00 ", € -   ,86," € 990,00 ",05/03/2025,
85,01/03/2025,, VENEZIA e il Magico Carnevale,," € 50,00 ",1," € 1.950,00 ",,88," € 1.950,00 ",18/03/2025,
86,08/03/2025,, Tuscia terme + Viterbo,," € 50,00 ",1," € 1.350,00 "," € 40,00 ",98," € 1.390,00 ",13/03/2025," festa della donna, stiamo valutando se a Tuscia Terme o Terme dei papi"
87,08/03/2025,09/03/2025, Napoli,," € 50,00 ",1," € 1.550,00 "," € 100,00 ",99," € 1.650,00 ",25/03/2025,
88,09/03/2025,, Ravenna,,,1," € 1.300,00 ",,100," € 1.300,00 ",13/03/2025,
89,15/03/2025,, Viaggio a Napoli in Giornata,,,," € 1.050,00 "," € 122,00 ",111," € 1.172,00 ",31/03/2025,
90,15/03/2025,, Weekend - Le delizie della Ciociaria,,,," € 1.250,00 "," € 40,00 ",112," € 1.290,00 ",31/03/2025,
91,23/03/2025,, Viaggio alla Mostra di Dalì a Roma,,,1," € 1.050,00 ",,126," € 1.050,00 ",31/03/2025,
92,23/03/2025,, Rasiglia e Spello,," € 50,00 ",2," € 1.300,00 ",,127," € 1.300,00 ",08/04/2025,
93,27/03/2025,, Partecipa come pubblico ad AMICI,," € 50,00 ",1," € 990,00 ",,133," € 990,00 ",08/04/2025,
94,29/03/2025,, Napoli,,,," € 1.050,00 "," € 122,00 ",136," € 1.172,00 ",14/04/2025,
95,30/03/2025,, Alberobello e Polignano,,,2," € 1.650,00 "," € 110,00 ",141," € 1.760,00 ",17/04/2025,
96,30/03/2025,, Navette Bus per il Concerto di Maluma - Bologna,,,1," € 1.600,00 ",,138," € 1.600,00 ",28/04/2025,
97,05/04/2025,, San Marino,," € 50,00 ",1," € 1.302,00 "," € 25,00 ",155," € 1.327,00 ",28/04/2025,
98,06/04/2025,, Romics,," € 64,00 ",1," € 1.000,00 ",,156," € 1.000,00 ",05/05/2025,
99,12/04/2025,, Viaggio a Napoli in Giornata con Guida,,,1," € 1.050,00 "," € 122,00 ",180," € 1.172,00 ",05/05/2025,
100,21/04/2025,, Mirabilandia,,,," € 1.200,00 "," € 1.195,00 ",194," € 2.395,00 ",05/05/2025, 50 TKT MIRABILAMDIA
101,01/05/2025,, Civitella - Spoltore,," € 64,00 ",1," € 1.400,00 ",,212," € 1.400,00 ",12/05/2025, 1° bus= Partenza da Spoltore (chiesa di Santa Teresa) 08:00 e rientro per le 19:30/20:00
102,01/05/2025,, cocullo festa dei serpari,," € 50,00 ",1," € 650,00 ",,211," € 650,00 ",20/05/2025,
103,01/05/2025,, Roma concertone,," € 64,00 ",," € 1.000,00 "," € 50,00 ",210," € 1.050,00 ",20/05/2025,
104,01/05/2025,, Partecipa come pubblico ad AMICI,," € 50,00 ",1," € 990,00 ",,209," € 990,00 ",20/05/2025,
105,01/05/2025,, Mirabilandia,,,1," € 1.200,00 "," € 1.195,00 ",208," € 2.395,00 ",20/05/2025, 50 TKT MIRABILANDIA
106,11/05/2025,, penne - internazionali tennis,," € 50,00 ",2," € 1.200,00 "," € 50,00 ",232," € 1.250,00 ",29/05/2025, partenza da penne ore 06:30 - ritorno ore 19:30/20:00
107,11/05/2025,, Viaggio a Napoli in Giornata,,,," € 1.050,00 "," € 122,00 ",233," € 1.172,00 ",29/05/2025,
108,17/05/2025,18/05/2025, Argentario,," € 30,00 ",1," € 1.600,00 ",,259," € 1.600,00 ",29/05/2025,
109,17/05/2025,, napoli,," € 63,00 ",," € 1.050,00 "," € 122,00 ",260," € 1.172,00 ",03/06/2025,
110,18/05/2025,, alberobello polignano,,,," € 1.650,00 "," € 110,00 ",264," € 1.760,00 ",03/06/2025,
111,25/05/2025,, vieste,," € 50,00 ",1," € 1.000,00 ",,278," € 1.000,00 ",03/06/2025, 9 ore fermo
112,25/05/2025,, napoli,,,," € 1.050,00 "," € 122,00 ",279," € 1.172,00 ",06/06/2025,
113,31/05/2025,, weekend sorrento,," € 30,00 ",1," € 2.000,00 "," € 180,00 ",298," € 2.180,00 ",06/06/2025,
114,31/05/2025,, conc liberato roma,," € 50,00 ",1," € 1.050,00 "," € 50,00 ",299," € 1.100,00 ",06/06/2025,
115,31/05/2025,, Viaggio a San Giovanni Rotondo e S. Michele Arcangelo,," € 50,00 ",2," € 1.300,00 "," € 35,00 ",300," € 1.335,00 ",10/06/2025,
116,01/06/2025,, napoli,," € 50,00 ",1," € 1.050,00 "," € 122,00 ",301," € 1.172,00 ",10/06/2025,
117,02/06/2025,, pozzuoli,," € 50,00 ",1," € 1.150,00 ",,303," € 1.150,00 ",10/06/2025,
118,02/06/2025,, conc liberato Gigi D'Alessio,,,2," € 1.200,00 ",,302," € 1.200,00 ",10/06/2025,
119,05/06/2025,, Navette Bus per il Concerto di Vasco Rossi a Firenze,,,2," € 1.650,00 "," € 65,00 ",317," € 1.715,00 ",13/06/2025,
120,05/06/2025,, Navetta bus Luchè - Napoli,,,2," € 1.200,00 ",,316," € 1.200,00 ",13/06/2025,
121,07/06/2025,, Navetta bus Gazzelle - Roma,,,1," € 1.050,00 "," € 50,00 ",318," € 1.100,00 ",13/06/2025,
122,10/06/2025,, Navetta Bus Marracash – Napoli,,,2," € 1.200,00 ",,320," € 1.200,00 ",21/06/2025,
123,13/06/2025,, roma foro italico,," € 50,00 ",2," € 1.200,00 "," € 50,00 ",324," € 1.250,00 ",21/06/2025," partenza da Francavilla al mare hotel villa maria 13:00/14:00
roma foro italico
ripartenza oltre la mezzanotte"
124,15/06/2025,, Mirabilandia,,,1," € 1.200,00 "," € 1.195,00 ",325," € 2.395,00 ",21/06/2025, 50 tkt Mirabilandia
125,16/06/2025,, Navetta Bus Vasco Rossi – Napoli,,,1," € 1.200,00 ",,330," € 1.200,00 ",21/06/2025,
